ticker,company_name,industry,market_cap
AAPL,Apple Inc.,Consumer Electronics,"3,356.82B"
MSFT,Microsoft Corp.,Software - Infrastructure,"3,066.39B"
NVDA,NVIDIA Corp.,Semiconductors,"2,629.00B"
AMZN,"Amazon.com, Inc.",Internet Retail,"1,887.10B"
GOOGL,Alphabet Inc.,Internet Content & Information,"1,847.36B"
GOOG,Alphabet Inc.,Internet Content & Information,"1,835.26B"
META,"Meta Platforms, Inc.",Internet Content & Information,"1,279.76B"
BRK.B,Berkshire Hathaway Inc.,Insurance - Diversified,990.40B
LLY,Eli Lilly and Co.,Drug Manufacturers - General,813.43B
TSLA,"Tesla, Inc.",Auto Manufacturers,711.06B
AVGO,Broadcom Inc.,Semiconductors,691.39B
WMT,Walmart Inc.,Discount Stores,630.68B
JPM,JPMorgan Chase & Co.,Banks - Diversified,584.65B
UNH,UnitedHealth Group Inc.,Healthcare Plans,554.45B
V,Visa Inc.,Credit Services,542.08B
XOM,Exxon Mobil Corp.,Oil & Gas Integrated,490.67B
MA,Mastercard Inc.,Credit Services,449.08B
ORCL,Oracle Corp.,Software - Infrastructure,427.88B
PG,The Procter & Gamble Co.,Household & Personal Products,415.53B
JNJ,Johnson & Johnson,Drug Manufacturers - General,402.35B
COST,Costco Wholesale Corp.,Discount Stores,396.76B
HD,"The Home Depot, Inc.",Home Improvement Retail,367.67B
ABBV,AbbVie Inc.,Drug Manufacturers - General,348.85B
KO,The Coca-Cola Co.,Beverages - Non-Alcoholic,308.97B
BAC,Bank of America Corp.,Banks - Diversified,304.76B
MRK,"Merck & Co., Inc.",Drug Manufacturers - General,292.90B
NFLX,"Netflix, Inc.",Entertainment,289.97B
ADBE,Adobe Inc.,Software - Infrastructure,253.85B
CVX,Chevron Corp.,Oil & Gas Integrated,251.22B
PEP,"PepsiCo, Inc.",Beverages - Non-Alcoholic,244.50B
TMO,Thermo Fisher Scientific Inc.,Diagnostics & Research,237.95B
CRM,"Salesforce, Inc.",Software - Application,235.34B
AMD,"Advanced Micro Devices, Inc.",Semiconductors,229.34B
TMUS,"T-Mobile US, Inc.",Telecom Services,229.21B
LIN,Linde plc,Specialty Chemicals,220.58B
ACN,Accenture plc,Information Technology Services,216.92B
